Passenger_Id,pclass,survived,name_with_salutions,name_without_salutions,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,home_dest
1,3rd,0,"Andersson, Mr. Anders Johan","Andersson,  Anders Johan",male,39.0,1,5,347082,31.275,,Southampton,,"Sweden Winnipeg, MN"
2,3rd,1,"McGowan, Miss. Anna ""Annie""","McGowan,  Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Queenstown,,
3,2nd,1,"Caldwell, Mr. Albert Francis","Caldwell,  Albert Francis",male,26.0,1,1,248738,29.0,,Southampton,13,"Bangkok, Thailand / Roseville, IL"
4,3rd,0,"Augustsson, Mr. Albert","Augustsson,  Albert",male,23.0,0,0,347468,7.8542,,Southampton,,"Krakoryd, Sweden Bloomington, IL"
5,3rd,1,"Lindqvist, Mr. Eino William","Lindqvist,  Eino William",male,20.0,1,0,STON/O 2. 3101285,7.925,,Southampton,15,
6,2nd,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)","Carter,  Ernest Courtenay (Lilian Hughes)",female,44.0,1,0,244252,26.0,,Southampton,,London
7,3rd,0,"Sage, Mrs. John (Annie Bullen)","Sage,  John (Annie Bullen)",female,,1,9,CA. 2343,69.55,,Southampton,,
8,2nd,0,"McCrie, Mr. James Matthew","McCrie,  James Matthew",male,30.0,0,0,233478,13.0,,Southampton,,"Sarnia, ON"
9,3rd,0,"Adams, Mr. John","Adams,  John",male,26.0,0,0,341826,8.05,,Southampton,,"Bournemouth, England"
10,3rd,0,"Lindahl, Miss. Agda Thorilda Viktoria","Lindahl,  Agda Thorilda Viktoria",female,25.0,0,0,347071,7.775,,Southampton,,
11,3rd,0,"Lobb, Mr. William Arthur","Lobb,  William Arthur",male,30.0,1,0,A/5. 3336,16.1,,Southampton,,
12,1st,0,"Nicholson, Mr. Arthur Ernest","Nicholson,  Arthur Ernest",male,64.0,0,0,693,26.0,,Southampton,,"Isle of Wight, England"
13,2nd,0,"Baimbrigge, Mr. Charles Robert","Baimbrigge,  Charles Robert",male,23.0,0,0,C.A. 31030,10.5,,Southampton,,Guernsey
14,2nd,0,"Pernot, Mr. Rene","Pernot,  Rene",male,,0,0,SC/PARIS 2131,15.05,,Cherbourg,,
15,3rd,0,"Vander Planke, Miss. Augusta Maria","Vander Planke,  Augusta Maria",female,18.0,2,0,345764,18.0,,Southampton,,
16,1st,1,"Bazzani, Miss. Albina","Bazzani, Albina",female,32.0,0,0,11813,76.2917,D15,Cherbourg,8,
17,3rd,0,"Kilgannon, Mr. Thomas J","Kilgannon,  Thomas J",male,,0,0,36865,7.7375,,Queenstown,,
18,3rd,0,"Bourke, Mr. John","Bourke,  John",male,40.0,1,1,364849,15.5,,Queenstown,,"Ireland Chicago, IL"
19,3rd,0,"Sivic, Mr. Husein","Sivic,  Husein",male,40.0,0,0,349251,7.8958,,Southampton,,
20,1st,0,"Marvin, Mr. Daniel Warner","Marvin,  Daniel Warner",male,19.0,1,0,113773,53.1,D30,Southampton,,"New York, NY"
21,1st,0,"Klaber, Mr. Herman","Klaber,  Herman",male,,0,0,113028,26.55,C124,Southampton,,"Portland, OR"
22,3rd,1,"Moussa, Mrs. (Mantoura Boulos)","Moussa,  (Mantoura Boulos)",female,,0,0,2626,7.2292,,Cherbourg,,
23,1st,1,"Anderson, Mr. Harry","Anderson, Harry",male,48.0,0,0,19952,26.55,E12,Southampton,3,"New York, NY"
24,3rd,1,"Abrahamsson, Mr. Abraham August Johannes","Abrahamsson,  Abraham August Johannes",male,20.0,0,0,SOTON/O2 3101284,7.925,,Southampton,15,"Taalintehdas, Finland Hoboken, NJ"
