Passenger_Id,pclass,sex,age,sibsp,parch,fare,survived,survived.0,survived.1,survived.predicted(th=0.40031)
1298,1st,male,17.0,0,2,110.8833,1,0.52881634,0.4711837,1
575,1st,female,45.0,0,1,59.4,1,0.056927144,0.94307285,1
328,3rd,male,20.0,0,0,7.8542,0,0.88373595,0.11626406,0
408,3rd,male,25.0,0,0,7.05,0,0.88373595,0.11626406,0
844,1st,male,,0,0,35.5,1,0.63639235,0.36360767,0
411,3rd,male,,0,0,8.05,0,0.88373595,0.11626406,0
1141,2nd,female,17.0,0,0,12.0,1,0.26327592,0.7367241,1
718,1st,female,60.0,1,4,263.0,1,0.7764188,0.2235812,0
940,3rd,male,17.0,1,1,7.2292,0,0.7648544,0.23514563,0
72,1st,male,53.0,0,0,28.5,1,0.63639235,0.36360767,0
805,3rd,male,36.5,1,0,17.4,1,0.8912424,0.108757585,0
564,3rd,female,16.0,0,0,7.75,1,0.39776134,0.60223865,1
142,3rd,male,25.0,1,0,17.8,0,0.8912424,0.108757585,0
1033,3rd,male,25.0,0,0,9.5,1,0.88373595,0.11626406,0
661,3rd,male,30.5,0,0,8.05,0,0.88373595,0.11626406,0
106,3rd,male,22.0,0,0,8.05,0,0.88373595,0.11626406,0
893,3rd,male,39.0,0,0,7.925,0,0.88373595,0.11626406,0
663,3rd,male,,0,0,56.4958,0,0.88373595,0.11626406,0
896,2nd,male,35.0,0,0,10.5,0,0.80440944,0.19559056,0
677,3rd,female,3.0,3,1,21.075,0,0.48093826,0.51906174,1
800,3rd,male,40.5,0,0,15.1,0,0.88373595,0.11626406,0
282,1st,female,24.0,3,2,263.0,1,0.25632256,0.74367744,1
624,3rd,female,17.0,4,2,7.925,1,0.6528597,0.3471403,0
1121,3rd,female,26.0,1,1,22.025,1,0.22035217,0.7796478,1
1126,3rd,female,26.0,0,0,7.8542,1,0.39776134,0.60223865,1
925,3rd,male,25.0,0,0,7.8958,0,0.88373595,0.11626406,0
1156,3rd,female,28.0,0,0,7.8958,0,0.39776134,0.60223865,1
968,1st,female,39.0,0,0,211.3375,1,0.13200384,0.86799616,1
1076,2nd,female,6.0,0,1,33.0,1,0.12422383,0.8757762,1
702,3rd,male,19.0,0,0,7.65,0,0.88373595,0.11626406,0
920,1st,female,31.0,0,0,134.5,1,0.13200384,0.86799616,1
961,3rd,female,19.0,1,1,15.7417,1,0.22035217,0.7796478,1
932,1st,female,53.0,0,0,27.4458,1,0.13200384,0.86799616,1
689,2nd,female,22.0,1,1,29.0,1,0.13263893,0.86736107,1
691,3rd,female,18.0,0,0,7.8792,0,0.39776134,0.60223865,1
227,3rd,female,3.0,1,1,13.775,0,0.22035217,0.7796478,1
922,3rd,male,18.0,1,1,20.2125,0,0.7648544,0.23514563,0
979,3rd,male,,0,0,7.775,0,0.88373595,0.11626406,0
861,3rd,female,,0,0,7.75,0,0.39776134,0.60223865,1
497,3rd,female,2.0,4,2,31.275,0,0.6528597,0.3471403,0
1202,3rd,male,32.0,0,0,7.925,0,0.88373595,0.11626406,0
94,3rd,male,32.0,0,0,7.5792,1,0.88373595,0.11626406,0
403,1st,male,28.0,1,0,82.1708,0,0.65360886,0.34639114,0
19,3rd,male,40.0,0,0,7.8958,0,0.88373595,0.11626406,0
159,2nd,male,30.0,0,0,10.5,0,0.80440944,0.19559056,0
277,1st,male,61.0,0,0,32.3208,0,0.63639235,0.36360767,0
806,2nd,male,28.0,0,1,33.0,0,0.620123,0.379877,0
156,3rd,male,30.0,0,0,8.05,0,0.88373595,0.11626406,0
1039,2nd,male,23.0,0,0,13.0,0,0.80440944,0.19559056,0
1308,2nd,male,27.0,0,0,26.0,0,0.80440944,0.19559056,0
904,3rd,male,,0,0,7.75,1,0.88373595,0.11626406,0
237,3rd,male,,0,0,8.7125,0,0.88373595,0.11626406,0
1037,3rd,male,35.0,0,0,7.125,0,0.88373595,0.11626406,0
622,3rd,male,40.5,0,0,7.75,0,0.88373595,0.11626406,0
640,3rd,male,29.0,0,0,7.8958,1,0.88373595,0.11626406,0
1008,3rd,male,37.0,2,0,7.925,0,0.9104105,0.08958948,0
76,2nd,male,63.0,1,0,26.0,0,0.815971,0.18402895,0
579,3rd,male,21.0,0,0,8.05,0,0.88373595,0.11626406,0
1306,1st,female,64.0,0,2,83.1583,1,0.08885449,0.9111455,1
109,3rd,female,,1,0,16.1,1,0.41590643,0.5840936,1
126,2nd,female,30.0,1,0,13.8583,1,0.2781192,0.7218808,1
912,1st,male,,0,0,26.0,1,0.63639235,0.36360767,0
656,3rd,female,,0,0,15.5,1,0.39776134,0.60223865,1
811,1st,female,41.0,0,0,134.5,1,0.13200384,0.86799616,1
119,2nd,male,47.0,0,0,15.0,0,0.80440944,0.19559056,0
1181,3rd,female,14.0,1,0,11.2417,1,0.41590643,0.5840936,1
70,3rd,female,30.5,0,0,7.75,0,0.39776134,0.60223865,1
830,2nd,female,21.0,0,1,21.0,1,0.12422383,0.8757762,1
12,1st,male,64.0,0,0,26.0,0,0.63639235,0.36360767,0
721,3rd,female,38.0,0,0,7.2292,1,0.39776134,0.60223865,1
107,3rd,male,,0,0,7.55,0,0.88373595,0.11626406,0
592,2nd,female,29.0,1,0,26.0,1,0.2781192,0.7218808,1
679,1st,male,38.0,0,1,153.4625,0,0.4099251,0.5900749,1
229,3rd,female,29.0,0,0,7.925,0,0.39776134,0.60223865,1
89,3rd,male,,0,0,7.25,0,0.88373595,0.11626406,0
292,3rd,male,35.0,0,0,8.05,0,0.88373595,0.11626406,0
568,3rd,male,29.0,0,0,8.05,0,0.88373595,0.11626406,0
1120,3rd,male,18.0,2,2,34.375,0,0.86695635,0.13304368,0
500,3rd,female,,0,0,7.55,0,0.39776134,0.60223865,1
542,1st,male,,0,0,27.7208,0,0.63639235,0.36360767,0
214,3rd,male,,0,0,7.75,0,0.88373595,0.11626406,0
808,3rd,male,,1,0,14.4583,0,0.8912424,0.108757585,0
407,3rd,female,,0,0,7.75,1,0.39776134,0.60223865,1
182,2nd,male,30.0,0,0,13.0,0,0.80440944,0.19559056,0
710,3rd,male,16.0,4,1,39.6875,0,0.93054306,0.069456965,0
347,3rd,male,,0,0,7.05,0,0.88373595,0.11626406,0
638,2nd,female,22.0,1,2,41.5792,1,0.19810879,0.8018912,1
415,1st,female,35.0,1,0,53.1,1,0.14086121,0.8591388,1
1095,1st,male,36.0,1,2,120.0,1,0.5475048,0.45249525,1
